provincia,municipio,estacion,magnitud,contaminante,punto_muestreo,nombre_estacion,ano,mes,dia,hora,valor,validacion,fecha,dia_semana,es_fin_semana
28,79,27,7,NO,28079027_7_8,Barajas Pueblo,2026,5,7,16,0,N,2026-05-07 16:00:00,3,False
28,79,27,8,NO2,28079027_8_8,Barajas Pueblo,2026,5,7,16,0,N,2026-05-07 16:00:00,3,False
28,79,27,12,NOx,28079027_12_8,Barajas Pueblo,2026,5,7,17,0,N,2026-05-07 17:00:00,3,False
28,79,27,14,O3,28079027_14_6,Barajas Pueblo,2026,5,7,17,0,N,2026-05-07 17:00:00,3,False
28,79,27,7,NO,28079027_7_8,Barajas Pueblo,2026,5,7,17,0,N,2026-05-07 17:00:00,3,False
28,79,27,8,NO2,28079027_8_8,Barajas Pueblo,2026,5,7,17,0,N,2026-05-07 17:00:00,3,False
28,79,27,12,NOx,28079027_12_8,Barajas Pueblo,2026,5,7,18,0,N,2026-05-07 18:00:00,3,False
28,79,27,14,O3,28079027_14_6,Barajas Pueblo,2026,5,7,18,0,N,2026-05-07 18:00:00,3,False
28,79,27,7,NO,28079027_7_8,Barajas Pueblo,2026,5,7,18,0,N,2026-05-07 18:00:00,3,False
28,79,27,8,NO2,28079027_8_8,Barajas Pueblo,2026,5,7,18,0,N,2026-05-07 18:00:00,3,False
28,79,27,12,NOx,28079027_12_8,Barajas Pueblo,2026,5,7,19,0,N,2026-05-07 19:00:00,3,False
28,79,27,14,O3,28079027_14_6,Barajas Pueblo,2026,5,7,19,0,N,2026-05-07 19:00:00,3,False
28,79,27,7,NO,28079027_7_8,Barajas Pueblo,2026,5,7,19,0,N,2026-05-07 19:00:00,3,False
28,79,27,8,NO2,28079027_8_8,Barajas Pueblo,2026,5,7,19,0,N,2026-05-07 19:00:00,3,False
28,79,27,12,NOx,28079027_12_8,Barajas Pueblo,2026,5,7,20,0,N,2026-05-07 20:00:00,3,False
28,79,27,14,O3,28079027_14_6,Barajas Pueblo,2026,5,7,20,0,N,2026-05-07 20:00:00,3,False
28,79,27,7,NO,28079027_7_8,Barajas Pueblo,2026,5,7,20,0,N,2026-05-07 20:00:00,3,False
28,79,27,8,NO2,28079027_8_8,Barajas Pueblo,2026,5,7,20,0,N,2026-05-07 20:00:00,3,False
